sample_id,split,project_id,classification,run_count,first_run_id,calculated_total_reads,recorded_total_reads,all_runs_match_recorded,read_difference,minimum_reference_depth,eligible_reference_sample
SRS2821859,train,MGYS00002437,seawater,1,SRR6457365,106683.0,106683.0,True,0.0,10000,True
SRS2821862,train,MGYS00002437,seawater,1,SRR6457362,76269.0,76269.0,True,0.0,10000,True
SRS2821863,train,MGYS00002437,seawater,1,SRR6457361,71659.0,71659.0,True,0.0,10000,True
SRS2821864,train,MGYS00002437,seawater,1,SRR6457359,77153.0,77153.0,True,0.0,10000,True
SRS2821865,train,MGYS00002437,seawater,1,SRR6457360,96245.0,96245.0,True,0.0,10000,True
SRS2821866,train,MGYS00002437,seawater,1,SRR6457358,126475.0,126475.0,True,0.0,10000,True
SRS2821867,train,MGYS00002437,seawater,1,SRR6457357,86124.0,86124.0,True,0.0,10000,True
SRS2821868,train,MGYS00002437,seawater,1,SRR6457356,133799.0,133799.0,True,0.0,10000,True
SRS2821869,train,MGYS00002437,seawater,1,SRR6457355,170212.0,170212.0,True,0.0,10000,True
SRS2821873,train,MGYS00002437,seawater,1,SRR6457351,72597.0,72597.0,True,0.0,10000,True
SRS2821874,train,MGYS00002437,seawater,1,SRR6457350,119937.0,119937.0,True,0.0,10000,True
SRS2821876,train,MGYS00002437,seawater,1,SRR6457347,114777.0,114777.0,True,0.0,10000,True
SRS2821877,train,MGYS00002437,seawater,1,SRR6457348,114732.0,114732.0,True,0.0,10000,True
SRS2821879,train,MGYS00002437,seawater,1,SRR6457345,67131.0,67131.0,True,0.0,10000,True
SRS2821880,train,MGYS00002437,seawater,1,SRR6457344,78522.0,78522.0,True,0.0,10000,True
SRS2821882,train,MGYS00002437,seawater,1,SRR6457342,62552.0,62552.0,True,0.0,10000,True
SRS2821883,train,MGYS00002437,seawater,1,SRR6457341,56398.0,56398.0,True,0.0,10000,True
SRS2821884,train,MGYS00002437,seawater,1,SRR6457339,113804.0,113804.0,True,0.0,10000,True
SRS2821886,train,MGYS00002437,seawater,1,SRR6457337,58425.0,58425.0,True,0.0,10000,True
SRS2821889,train,MGYS00002437,seawater,1,SRR6457334,111943.0,111943.0,True,0.0,10000,True
SRS2821895,train,MGYS00002437,seawater,1,SRR6457328,98065.0,98065.0,True,0.0,10000,True
SRS2821896,train,MGYS00002437,seawater,1,SRR6457327,152225.0,152225.0,True,0.0,10000,True
SRS2821898,train,MGYS00002437,seawater,1,SRR6457325,166690.0,166690.0,True,0.0,10000,True
SRS2821900,train,MGYS00002437,seawater,1,SRR6457323,123489.0,123489.0,True,0.0,10000,True
SRS2821902,train,MGYS00002437,seawater,1,SRR6457320,85585.0,85585.0,True,0.0,10000,True
SRS2821903,train,MGYS00002437,seawater,1,SRR6457319,93583.0,93583.0,True,0.0,10000,True
SRS2821904,train,MGYS00002437,seawater,1,SRR6457318,84676.0,84676.0,True,0.0,10000,True
SRS2821906,train,MGYS00002437,seawater,1,SRR6457316,106660.0,106660.0,True,0.0,10000,True
SRS2821907,train,MGYS00002437,seawater,1,SRR6457315,116336.0,116336.0,True,0.0,10000,True
SRS2821910,train,MGYS00002437,seawater,1,SRR6457311,60143.0,60143.0,True,0.0,10000,True
SRS2821911,train,MGYS00002437,seawater,1,SRR6457310,131908.0,131908.0,True,0.0,10000,True
SRS2821912,train,MGYS00002437,seawater,1,SRR6457309,72444.0,72444.0,True,0.0,10000,True
SRS2821913,train,MGYS00002437,seawater,1,SRR6457308,93648.0,93648.0,True,0.0,10000,True
SRS2821914,train,MGYS00002437,seawater,1,SRR6457307,78912.0,78912.0,True,0.0,10000,True
SRS2821915,train,MGYS00002437,seawater,1,SRR6457306,85302.0,85302.0,True,0.0,10000,True
SRS2821917,train,MGYS00002437,seawater,1,SRR6457304,88321.0,88321.0,True,0.0,10000,True
SRS2821918,train,MGYS00002437,seawater,1,SRR6457303,492477.0,492477.0,True,0.0,10000,True
SRS2821920,train,MGYS00002437,seawater,1,SRR6457301,115505.0,115505.0,True,0.0,10000,True
SRS2821921,train,MGYS00002437,seawater,1,SRR6457300,77186.0,77186.0,True,0.0,10000,True
SRS2821922,train,MGYS00002437,seawater,1,SRR6457299,65125.0,65125.0,True,0.0,10000,True
SRS2821923,train,MGYS00002437,seawater,1,SRR6457298,91581.0,91581.0,True,0.0,10000,True
SRS2821924,train,MGYS00002437,seawater,1,SRR6457297,67771.0,67771.0,True,0.0,10000,True
SRS2821926,train,MGYS00002437,seawater,1,SRR6457340,61853.0,61853.0,True,0.0,10000,True
SRS2821927,train,MGYS00002437,seawater,1,SRR6457294,49369.0,49369.0,True,0.0,10000,True
SRS2821929,train,MGYS00002437,seawater,1,SRR6457292,72593.0,72593.0,True,0.0,10000,True
SRS2821930,train,MGYS00002437,seawater,1,SRR6457296,53894.0,53894.0,True,0.0,10000,True
SRS2821933,train,MGYS00002437,seawater,1,SRR6457288,54834.0,54834.0,True,0.0,10000,True
SRS2821934,train,MGYS00002437,seawater,1,SRR6457286,127933.0,127933.0,True,0.0,10000,True
SRS2821935,train,MGYS00002437,seawater,1,SRR6457285,128244.0,128244.0,True,0.0,10000,True
SRS2821936,train,MGYS00002437,seawater,1,SRR6457284,84304.0,84304.0,True,0.0,10000,True
SRS2821937,train,MGYS00002437,seawater,1,SRR6457283,128041.0,128041.0,True,0.0,10000,True
SRS2821938,train,MGYS00002437,seawater,1,SRR6457282,99777.0,99777.0,True,0.0,10000,True
SRS2821940,train,MGYS00002437,seawater,1,SRR6457280,83882.0,83882.0,True,0.0,10000,True
SRS2821942,train,MGYS00002437,seawater,1,SRR6457278,111921.0,111921.0,True,0.0,10000,True
SRS2821943,train,MGYS00002437,seawater,1,SRR6457277,102564.0,102564.0,True,0.0,10000,True
SRS2821944,train,MGYS00002437,seawater,1,SRR6457276,119085.0,119085.0,True,0.0,10000,True
SRS2821945,train,MGYS00002437,seawater,1,SRR6457275,67671.0,67671.0,True,0.0,10000,True
SRS2821948,train,MGYS00002437,seawater,1,SRR6457314,95735.0,95735.0,True,0.0,10000,True
SRS2821949,train,MGYS00002437,seawater,1,SRR6457272,65900.0,65900.0,True,0.0,10000,True
SRS2821950,train,MGYS00002437,seawater,1,SRR6457271,85656.0,85656.0,True,0.0,10000,True
SRS2821951,train,MGYS00002437,seawater,1,SRR6457270,109355.0,109355.0,True,0.0,10000,True
SRS2821953,train,MGYS00002437,seawater,1,SRR6457268,65898.0,65898.0,True,0.0,10000,True
SRS2821954,train,MGYS00002437,seawater,1,SRR6457267,55484.0,55484.0,True,0.0,10000,True
SRS2821956,train,MGYS00002437,seawater,1,SRR6457265,68784.0,68784.0,True,0.0,10000,True
SRS2821957,train,MGYS00002437,seawater,1,SRR6457264,49720.0,49720.0,True,0.0,10000,True
SRS2821958,train,MGYS00002437,seawater,1,SRR6457262,54377.0,54377.0,True,0.0,10000,True
SRS2821959,train,MGYS00002437,seawater,1,SRR6457261,56200.0,56200.0,True,0.0,10000,True
SRS2821960,train,MGYS00002437,seawater,1,SRR6457260,64804.0,64804.0,True,0.0,10000,True
SRS2821961,train,MGYS00002437,seawater,1,SRR6457263,54097.0,54097.0,True,0.0,10000,True
SRS2821962,train,MGYS00002437,seawater,1,SRR6457259,22956.0,22956.0,True,0.0,10000,True
SRS2821964,train,MGYS00002437,seawater,1,SRR6457257,37300.0,37300.0,True,0.0,10000,True
SRS2821965,train,MGYS00002437,seawater,1,SRR6457256,19865.0,19865.0,True,0.0,10000,True
SRS2821966,train,MGYS00002437,seawater,1,SRR6457255,72434.0,72434.0,True,0.0,10000,True
SRS2821967,train,MGYS00002437,seawater,1,SRR6457254,84466.0,84466.0,True,0.0,10000,True
SRS2821971,train,MGYS00002437,seawater,1,SRR6457250,89589.0,89589.0,True,0.0,10000,True
SRS2821973,train,MGYS00002437,seawater,1,SRR6457247,141074.0,141074.0,True,0.0,10000,True
SRS2821974,train,MGYS00002437,seawater,1,SRR6457246,129310.0,129310.0,True,0.0,10000,True
SRS2821975,train,MGYS00002437,seawater,1,SRR6457245,109515.0,109515.0,True,0.0,10000,True
SRS2821976,train,MGYS00002437,seawater,1,SRR6457244,145843.0,145843.0,True,0.0,10000,True
SRS2821977,train,MGYS00002437,seawater,1,SRR6457243,81616.0,81616.0,True,0.0,10000,True
SRS2821978,train,MGYS00002437,seawater,1,SRR6457242,96835.0,96835.0,True,0.0,10000,True
SRS2821979,train,MGYS00002437,seawater,1,SRR6457241,79403.0,79403.0,True,0.0,10000,True
SRS2821980,train,MGYS00002437,seawater,1,SRR6457240,88998.0,88998.0,True,0.0,10000,True
SRS2821981,train,MGYS00002437,seawater,1,SRR6457239,59189.0,59189.0,True,0.0,10000,True
SRS2821982,train,MGYS00002437,seawater,1,SRR6457238,73048.0,73048.0,True,0.0,10000,True
SRS2821984,train,MGYS00002437,seawater,1,SRR6457236,83442.0,83442.0,True,0.0,10000,True
SRS2821985,train,MGYS00002437,seawater,1,SRR6457287,54990.0,54990.0,True,0.0,10000,True
SRS2821986,train,MGYS00002437,seawater,1,SRR6457235,106217.0,106217.0,True,0.0,10000,True
SRS2821989,train,MGYS00002437,seawater,1,SRR6457231,68345.0,68345.0,True,0.0,10000,True
SRS2821992,train,MGYS00002437,seawater,1,SRR6457228,111091.0,111091.0,True,0.0,10000,True
SRS2821993,train,MGYS00002437,seawater,1,SRR6457227,97074.0,97074.0,True,0.0,10000,True
SRS2821994,train,MGYS00002437,seawater,1,SRR6457226,89627.0,89627.0,True,0.0,10000,True
SRS2821997,train,MGYS00002437,seawater,1,SRR6457222,89623.0,89623.0,True,0.0,10000,True
SRS2821998,train,MGYS00002437,seawater,1,SRR6457221,42825.0,42825.0,True,0.0,10000,True
SRS2821999,train,MGYS00002437,seawater,1,SRR6457220,151611.0,151611.0,True,0.0,10000,True
SRS2822001,train,MGYS00002437,seawater,1,SRR6457217,100263.0,100263.0,True,0.0,10000,True
SRS2822002,train,MGYS00002437,seawater,1,SRR6457216,116576.0,116576.0,True,0.0,10000,True
SRS2822003,train,MGYS00002437,seawater,1,SRR6457215,93049.0,93049.0,True,0.0,10000,True
SRS2822004,train,MGYS00002437,seawater,1,SRR6457214,143771.0,143771.0,True,0.0,10000,True
SRS2822005,train,MGYS00002437,seawater,1,SRR6457213,94000.0,94000.0,True,0.0,10000,True
SRS2822006,train,MGYS00002437,seawater,1,SRR6457211,73175.0,73175.0,True,0.0,10000,True
SRS2822007,train,MGYS00002437,seawater,1,SRR6457210,90966.0,90966.0,True,0.0,10000,True
SRS2822009,train,MGYS00002437,seawater,1,SRR6457208,62614.0,62614.0,True,0.0,10000,True
SRS2822011,train,MGYS00002437,seawater,1,SRR6457206,29079.0,29079.0,True,0.0,10000,True
SRS2822012,train,MGYS00002437,seawater,1,SRR6457205,53960.0,53960.0,True,0.0,10000,True
SRS2822013,train,MGYS00002437,seawater,1,SRR6457204,33241.0,33241.0,True,0.0,10000,True
SRS2822015,train,MGYS00002437,seawater,1,SRR6457203,41923.0,41923.0,True,0.0,10000,True
SRS2822016,train,MGYS00002437,seawater,1,SRR6457202,40094.0,40094.0,True,0.0,10000,True
SRS2822017,train,MGYS00002437,seawater,1,SRR6457201,72318.0,72318.0,True,0.0,10000,True
SRS2822018,train,MGYS00002437,seawater,1,SRR6457200,100173.0,100173.0,True,0.0,10000,True
SRS2822020,train,MGYS00002437,seawater,1,SRR6457197,119899.0,119899.0,True,0.0,10000,True
SRS2822021,train,MGYS00002437,seawater,1,SRR6457198,129540.0,129540.0,True,0.0,10000,True
SRS2822022,train,MGYS00002437,seawater,1,SRR6457195,124382.0,124382.0,True,0.0,10000,True
SRS2822024,train,MGYS00002437,seawater,1,SRR6457194,88914.0,88914.0,True,0.0,10000,True
SRS2822027,train,MGYS00002437,seawater,1,SRR6457191,110462.0,110462.0,True,0.0,10000,True
SRS2822028,train,MGYS00002437,seawater,1,SRR6457190,23006.0,23006.0,True,0.0,10000,True
SRS2822029,train,MGYS00002437,seawater,1,SRR6457189,73664.0,73664.0,True,0.0,10000,True
SRS2822030,train,MGYS00002437,seawater,1,SRR6457237,107790.0,107790.0,True,0.0,10000,True
SRS2822031,train,MGYS00002437,seawater,1,SRR6457187,84100.0,84100.0,True,0.0,10000,True
SRS2822032,train,MGYS00002437,seawater,1,SRR6457185,64509.0,64509.0,True,0.0,10000,True
SRS2822033,train,MGYS00002437,seawater,1,SRR6457186,83235.0,83235.0,True,0.0,10000,True
SRS2822034,train,MGYS00002437,seawater,1,SRR6457184,38265.0,38265.0,True,0.0,10000,True
SRS2822035,train,MGYS00002437,seawater,1,SRR6457183,17131.0,17131.0,True,0.0,10000,True
SRS2822036,train,MGYS00002437,seawater,1,SRR6457182,70920.0,70920.0,True,0.0,10000,True
SRS2822037,train,MGYS00002437,seawater,1,SRR6457181,88726.0,88726.0,True,0.0,10000,True
SRS2822038,train,MGYS00002437,seawater,1,SRR6457180,77659.0,77659.0,True,0.0,10000,True
SRS2822039,train,MGYS00002437,seawater,1,SRR6457179,76845.0,76845.0,True,0.0,10000,True
SRS2822040,train,MGYS00002437,seawater,1,SRR6457178,107424.0,107424.0,True,0.0,10000,True
SRS2822041,train,MGYS00002437,seawater,1,SRR6457177,125762.0,125762.0,True,0.0,10000,True
SRS2822042,train,MGYS00002437,seawater,1,SRR6457176,142149.0,142149.0,True,0.0,10000,True
SRS2822043,train,MGYS00002437,seawater,1,SRR6457232,110826.0,110826.0,True,0.0,10000,True
SRS2822044,train,MGYS00002437,seawater,1,SRR6457175,110524.0,110524.0,True,0.0,10000,True
SRS2822045,train,MGYS00002437,seawater,1,SRR6457174,62783.0,62783.0,True,0.0,10000,True
SRS2822046,train,MGYS00002437,seawater,1,SRR6457173,72227.0,72227.0,True,0.0,10000,True
SRS2822047,train,MGYS00002437,seawater,1,SRR6457172,92816.0,92816.0,True,0.0,10000,True
SRS2822048,train,MGYS00002437,seawater,1,SRR6457170,70457.0,70457.0,True,0.0,10000,True
SRS2822049,train,MGYS00002437,seawater,1,SRR6457171,94923.0,94923.0,True,0.0,10000,True
SRS2822050,train,MGYS00002437,seawater,1,SRR6457169,68703.0,68703.0,True,0.0,10000,True
SRS2822051,train,MGYS00002437,seawater,1,SRR6457168,64680.0,64680.0,True,0.0,10000,True
SRS2822054,train,MGYS00002437,seawater,1,SRR6457164,41853.0,41853.0,True,0.0,10000,True
SRS2822055,train,MGYS00002437,seawater,1,SRR6457165,66851.0,66851.0,True,0.0,10000,True
SRS2822056,train,MGYS00002437,seawater,1,SRR6457163,32283.0,32283.0,True,0.0,10000,True
SRS2822057,train,MGYS00002437,seawater,1,SRR6457162,99859.0,99859.0,True,0.0,10000,True
SRS2822058,train,MGYS00002437,seawater,1,SRR6457161,11260.0,11260.0,True,0.0,10000,True
SRS2822061,train,MGYS00002437,seawater,1,SRR6457224,65352.0,65352.0,True,0.0,10000,True
SRS2822064,train,MGYS00002437,seawater,1,SRR6457156,76899.0,76899.0,True,0.0,10000,True
SRS2822065,train,MGYS00002437,seawater,1,SRR6457155,100952.0,100952.0,True,0.0,10000,True
SRS2822066,train,MGYS00002437,seawater,1,SRR6457154,177316.0,177316.0,True,0.0,10000,True
SRS2822067,train,MGYS00002437,seawater,1,SRR6457153,90897.0,90897.0,True,0.0,10000,True
SRS2822069,train,MGYS00002437,seawater,1,SRR6457151,72590.0,72590.0,True,0.0,10000,True
SRS2822070,train,MGYS00002437,seawater,1,SRR6457150,150172.0,150172.0,True,0.0,10000,True
SRS2822071,train,MGYS00002437,seawater,1,SRR6457149,111093.0,111093.0,True,0.0,10000,True
SRS2822072,train,MGYS00002437,seawater,1,SRR6457148,47951.0,47951.0,True,0.0,10000,True
SRS2822073,train,MGYS00002437,seawater,1,SRR6457147,82655.0,82655.0,True,0.0,10000,True
SRS2822074,train,MGYS00002437,seawater,1,SRR6457146,60275.0,60275.0,True,0.0,10000,True
SRS2822075,train,MGYS00002437,seawater,1,SRR6457145,68956.0,68956.0,True,0.0,10000,True
SRS2822078,train,MGYS00002437,seawater,1,SRR6457142,65618.0,65618.0,True,0.0,10000,True
SRS2822079,train,MGYS00002437,seawater,1,SRR6457141,91482.0,91482.0,True,0.0,10000,True
SRS2822081,train,MGYS00002437,seawater,1,SRR6457139,89670.0,89670.0,True,0.0,10000,True
SRS2822082,train,MGYS00002437,seawater,1,SRR6457138,115347.0,115347.0,True,0.0,10000,True
SRS2822083,train,MGYS00002437,seawater,1,SRR6457137,75883.0,75883.0,True,0.0,10000,True
SRS2822084,train,MGYS00002437,seawater,1,SRR6457136,151358.0,151358.0,True,0.0,10000,True
SRS2822085,train,MGYS00002437,seawater,1,SRR6457135,132677.0,132677.0,True,0.0,10000,True
SRS2822086,train,MGYS00002437,seawater,1,SRR6457133,115868.0,115868.0,True,0.0,10000,True
SRS2822088,train,MGYS00002437,seawater,1,SRR6457132,79864.0,79864.0,True,0.0,10000,True
SRS2822090,train,MGYS00002437,seawater,1,SRR6457129,93221.0,93221.0,True,0.0,10000,True
SRS2822091,train,MGYS00002437,seawater,1,SRR6457130,18276.0,18276.0,True,0.0,10000,True
SRS2822092,train,MGYS00002437,seawater,1,SRR6457128,67475.0,67475.0,True,0.0,10000,True
SRS2822093,train,MGYS00002437,seawater,1,SRR6457127,79632.0,79632.0,True,0.0,10000,True
SRS2822094,train,MGYS00002437,seawater,1,SRR6457126,119530.0,119530.0,True,0.0,10000,True
SRS2822096,train,MGYS00002437,seawater,1,SRR6457123,99220.0,99220.0,True,0.0,10000,True
SRS2822097,train,MGYS00002437,seawater,1,SRR6457124,183647.0,183647.0,True,0.0,10000,True
SRS2822098,train,MGYS00002437,seawater,1,SRR6457121,54471.0,54471.0,True,0.0,10000,True
SRS2822099,train,MGYS00002437,seawater,1,SRR6457119,85286.0,85286.0,True,0.0,10000,True
SRS2822100,train,MGYS00002437,seawater,1,SRR6457120,130723.0,130723.0,True,0.0,10000,True
SRS2822101,train,MGYS00002437,seawater,1,SRR6457118,70950.0,70950.0,True,0.0,10000,True
SRS2822103,train,MGYS00002437,seawater,1,SRR6457116,55593.0,55593.0,True,0.0,10000,True
SRS2822104,train,MGYS00002437,seawater,1,SRR6457218,80261.0,80261.0,True,0.0,10000,True
SRS2822105,train,MGYS00002437,seawater,1,SRR6457115,123768.0,123768.0,True,0.0,10000,True
SRS2822106,train,MGYS00002437,seawater,1,SRR6457114,64214.0,64214.0,True,0.0,10000,True
SRS2822107,train,MGYS00002437,seawater,1,SRR6457113,35273.0,35273.0,True,0.0,10000,True
SRS2822108,train,MGYS00002437,seawater,1,SRR6457112,64409.0,64409.0,True,0.0,10000,True
SRS2822109,train,MGYS00002437,seawater,1,SRR6457111,47371.0,47371.0,True,0.0,10000,True
SRS2822110,train,MGYS00002437,seawater,1,SRR6457110,70106.0,70106.0,True,0.0,10000,True
SRS2822112,train,MGYS00002437,seawater,1,SRR6457108,47278.0,47278.0,True,0.0,10000,True
SRS2822113,train,MGYS00002437,seawater,1,SRR6457107,110529.0,110529.0,True,0.0,10000,True
SRS2822114,train,MGYS00002437,seawater,1,SRR6457106,101714.0,101714.0,True,0.0,10000,True
SRS2822115,train,MGYS00002437,seawater,1,SRR6457105,81489.0,81489.0,True,0.0,10000,True
SRS2822118,train,MGYS00002437,seawater,1,SRR6457103,140201.0,140201.0,True,0.0,10000,True
SRS2822121,train,MGYS00002437,seawater,1,SRR6457100,97792.0,97792.0,True,0.0,10000,True
SRS2822123,train,MGYS00002437,seawater,1,SRR6457098,106836.0,106836.0,True,0.0,10000,True
SRS2822124,train,MGYS00002437,seawater,1,SRR6457097,119406.0,119406.0,True,0.0,10000,True
SRS2822127,train,MGYS00002437,seawater,1,SRR6457094,97126.0,97126.0,True,0.0,10000,True
SRS2822128,train,MGYS00002437,seawater,1,SRR6457093,121634.0,121634.0,True,0.0,10000,True
SRS2822130,train,MGYS00002437,seawater,1,SRR6457091,71582.0,71582.0,True,0.0,10000,True
SRS2822132,train,MGYS00002437,seawater,1,SRR6457088,47720.0,47720.0,True,0.0,10000,True
SRS2822134,train,MGYS00002437,seawater,1,SRR6457086,69899.0,69899.0,True,0.0,10000,True
SRS2822135,train,MGYS00002437,seawater,1,SRR6457085,63306.0,63306.0,True,0.0,10000,True
SRS2822137,train,MGYS00002437,seawater,1,SRR6457083,104552.0,104552.0,True,0.0,10000,True
SRS2822138,train,MGYS00002437,seawater,1,SRR6457082,88626.0,88626.0,True,0.0,10000,True
SRS2822139,train,MGYS00002437,seawater,1,SRR6457081,117854.0,117854.0,True,0.0,10000,True
SRS2822140,train,MGYS00002437,seawater,1,SRR6457080,93115.0,93115.0,True,0.0,10000,True
SRS2822141,train,MGYS00002437,seawater,1,SRR6457079,79032.0,79032.0,True,0.0,10000,True
SRS2822142,train,MGYS00002437,seawater,1,SRR6457078,77466.0,77466.0,True,0.0,10000,True
SRS2822143,train,MGYS00002437,seawater,1,SRR6457077,64296.0,64296.0,True,0.0,10000,True
SRS2822145,train,MGYS00002437,seawater,1,SRR6457076,79357.0,79357.0,True,0.0,10000,True
SRS2822146,train,MGYS00002437,seawater,1,SRR6457551,89003.0,89003.0,True,0.0,10000,True
SRS2822148,train,MGYS00002437,seawater,1,SRR6457548,102466.0,102466.0,True,0.0,10000,True
SRS2822150,train,MGYS00002437,seawater,1,SRR6457547,103073.0,103073.0,True,0.0,10000,True
SRS2822151,train,MGYS00002437,seawater,1,SRR6457545,68032.0,68032.0,True,0.0,10000,True
SRS2822152,train,MGYS00002437,seawater,1,SRR6457543,102041.0,102041.0,True,0.0,10000,True
SRS2822154,train,MGYS00002437,seawater,1,SRR6457541,90570.0,90570.0,True,0.0,10000,True
SRS2822155,train,MGYS00002437,seawater,1,SRR6457540,118436.0,118436.0,True,0.0,10000,True
SRS2822156,train,MGYS00002437,seawater,1,SRR6457539,112547.0,112547.0,True,0.0,10000,True
SRS2822157,train,MGYS00002437,seawater,1,SRR6457538,67557.0,67557.0,True,0.0,10000,True
SRS2822158,train,MGYS00002437,seawater,1,SRR6457537,95896.0,95896.0,True,0.0,10000,True
SRS2822159,train,MGYS00002437,seawater,1,SRR6457536,57272.0,57272.0,True,0.0,10000,True
SRS2822160,train,MGYS00002437,seawater,1,SRR6457535,53273.0,53273.0,True,0.0,10000,True
SRS2822161,train,MGYS00002437,seawater,1,SRR6457534,52616.0,52616.0,True,0.0,10000,True
SRS2822162,train,MGYS00002437,seawater,1,SRR6457533,40649.0,40649.0,True,0.0,10000,True
SRS2822163,train,MGYS00002437,seawater,1,SRR6457532,77015.0,77015.0,True,0.0,10000,True
SRS2822165,train,MGYS00002437,seawater,1,SRR6457531,80896.0,80896.0,True,0.0,10000,True
SRS2822166,train,MGYS00002437,seawater,1,SRR6457529,43855.0,43855.0,True,0.0,10000,True
SRS2822167,train,MGYS00002437,seawater,1,SRR6457528,81902.0,81902.0,True,0.0,10000,True
SRS2822169,train,MGYS00002437,seawater,1,SRR6457526,79411.0,79411.0,True,0.0,10000,True
SRS2822170,train,MGYS00002437,seawater,1,SRR6457525,91481.0,91481.0,True,0.0,10000,True
SRS2822172,train,MGYS00002437,seawater,1,SRR6457522,56314.0,56314.0,True,0.0,10000,True
SRS2822173,train,MGYS00002437,seawater,1,SRR6457521,69915.0,69915.0,True,0.0,10000,True
SRS2822174,train,MGYS00002437,seawater,1,SRR6457523,50039.0,50039.0,True,0.0,10000,True
SRS2822175,train,MGYS00002437,seawater,1,SRR6457188,98239.0,98239.0,True,0.0,10000,True
SRS2822176,train,MGYS00002437,seawater,1,SRR6457520,65739.0,65739.0,True,0.0,10000,True
SRS2822177,train,MGYS00002437,seawater,1,SRR6457519,65542.0,65542.0,True,0.0,10000,True
SRS2822178,train,MGYS00002437,seawater,1,SRR6457518,99376.0,99376.0,True,0.0,10000,True
SRS2822179,train,MGYS00002437,seawater,1,SRR6457517,61027.0,61027.0,True,0.0,10000,True
SRS2822181,train,MGYS00002437,seawater,1,SRR6457514,81895.0,81895.0,True,0.0,10000,True
SRS2822184,train,MGYS00002437,seawater,1,SRR6457511,122188.0,122188.0,True,0.0,10000,True
SRS2822186,train,MGYS00002437,seawater,1,SRR6457509,148559.0,148559.0,True,0.0,10000,True
SRS2822187,train,MGYS00002437,seawater,1,SRR6457508,88945.0,88945.0,True,0.0,10000,True
SRS2822189,train,MGYS00002437,seawater,1,SRR6457506,95053.0,95053.0,True,0.0,10000,True
SRS2822190,train,MGYS00002437,seawater,1,SRR6457504,51907.0,51907.0,True,0.0,10000,True
SRS2822191,train,MGYS00002437,seawater,1,SRR6457503,54369.0,54369.0,True,0.0,10000,True
SRS2822192,train,MGYS00002437,seawater,1,SRR6457505,111912.0,111912.0,True,0.0,10000,True
SRS2822193,train,MGYS00002437,seawater,1,SRR6457500,73972.0,73972.0,True,0.0,10000,True
SRS2822194,train,MGYS00002437,seawater,1,SRR6457502,48991.0,48991.0,True,0.0,10000,True
SRS2822195,train,MGYS00002437,seawater,1,SRR6457501,60291.0,60291.0,True,0.0,10000,True
SRS2822196,train,MGYS00002437,seawater,1,SRR6457499,126709.0,126709.0,True,0.0,10000,True
